Initializing distributed process group (rank: 0, local_rank: 0)
GPU 0 - Using device: cuda:0 (distributed mode)
Could not find model to preload: latest. Starting from scratch
Epoch [1/10], Batch [100/3125], Loss: 2.0341, Acc: 18.75%
Epoch [1/10], Batch [200/3125], Loss: 1.8506, Acc: 31.25%
Epoch [1/10], Batch [300/3125], Loss: 1.8367, Acc: 18.75%
Epoch [1/10], Batch [400/3125], Loss: 1.7145, Acc: 18.75%
Epoch [1/10], Batch [500/3125], Loss: 1.7947, Acc: 31.25%
Epoch [1/10], Batch [600/3125], Loss: 2.0898, Acc: 25.00%
Epoch [1/10], Batch [700/3125], Loss: 2.1627, Acc: 18.75%
Epoch [1/10], Batch [800/3125], Loss: 1.6636, Acc: 50.00%
Epoch [1/10], Batch [900/3125], Loss: 2.1144, Acc: 25.00%
Epoch [1/10], Batch [1000/3125], Loss: 2.0880, Acc: 31.25%
Epoch [1/10], Batch [1100/3125], Loss: 2.0400, Acc: 31.25%
Epoch [1/10], Batch [1200/3125], Loss: 2.1295, Acc: 31.25%
Epoch [1/10], Batch [1300/3125], Loss: 1.7721, Acc: 37.50%
Epoch [1/10], Batch [1400/3125], Loss: 1.8683, Acc: 31.25%
Epoch [1/10], Batch [1500/3125], Loss: 1.7243, Acc: 56.25%
Epoch [1/10], Batch [1600/3125], Loss: 1.8376, Acc: 43.75%
Epoch [1/10], Batch [1700/3125], Loss: 2.2363, Acc: 25.00%
Epoch [1/10], Batch [1800/3125], Loss: 1.6773, Acc: 62.50%
Epoch [1/10], Batch [1900/3125], Loss: 1.6737, Acc: 43.75%
Epoch [1/10], Batch [2000/3125], Loss: 1.9872, Acc: 25.00%
Epoch [1/10], Batch [2100/3125], Loss: 1.3686, Acc: 50.00%
Epoch [1/10], Batch [2200/3125], Loss: 1.4716, Acc: 62.50%
Epoch [1/10], Batch [2300/3125], Loss: 1.8571, Acc: 25.00%
Epoch [1/10], Batch [2400/3125], Loss: 1.5705, Acc: 37.50%
Epoch [1/10], Batch [2500/3125], Loss: 1.6473, Acc: 31.25%
Epoch [1/10], Batch [2600/3125], Loss: 1.4513, Acc: 50.00%
Epoch [1/10], Batch [2700/3125], Loss: 1.2145, Acc: 50.00%
Epoch [1/10], Batch [2800/3125], Loss: 1.8717, Acc: 18.75%
Epoch [1/10], Batch [2900/3125], Loss: 1.7011, Acc: 37.50%
Epoch [1/10], Batch [3000/3125], Loss: 1.7778, Acc: 43.75%
Epoch [1/10], Batch [3100/3125], Loss: 1.6194, Acc: 43.75%
Epoch [1/10], Loss: 1.8211, Accuracy: 32.27%, Time: 140.55s
Saved model checkpoint to weights/tmodel_00.pt
Epoch [2/10], Batch [100/3125], Loss: 1.4449, Acc: 43.75%
Epoch [2/10], Batch [200/3125], Loss: 1.7048, Acc: 31.25%
Epoch [2/10], Batch [300/3125], Loss: 1.8757, Acc: 25.00%
Epoch [2/10], Batch [400/3125], Loss: 1.4929, Acc: 43.75%
Epoch [2/10], Batch [500/3125], Loss: 1.5358, Acc: 43.75%
Epoch [2/10], Batch [600/3125], Loss: 1.5213, Acc: 37.50%
Epoch [2/10], Batch [700/3125], Loss: 1.8063, Acc: 37.50%
Epoch [2/10], Batch [800/3125], Loss: 1.6399, Acc: 37.50%
Epoch [2/10], Batch [900/3125], Loss: 1.7841, Acc: 18.75%
Epoch [2/10], Batch [1000/3125], Loss: 1.7229, Acc: 37.50%
Epoch [2/10], Batch [1100/3125], Loss: 1.6513, Acc: 37.50%
Epoch [2/10], Batch [1200/3125], Loss: 1.6599, Acc: 43.75%
Epoch [2/10], Batch [1300/3125], Loss: 1.8178, Acc: 31.25%
Epoch [2/10], Batch [1400/3125], Loss: 1.8765, Acc: 25.00%
Epoch [2/10], Batch [1500/3125], Loss: 1.7561, Acc: 37.50%
