W0401 00:43:42.012000 9547 torch/distributed/run.py:792] 
W0401 00:43:42.012000 9547 torch/distributed/run.py:792] *****************************************
W0401 00:43:42.012000 9547 torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0401 00:43:42.012000 9547 torch/distributed/run.py:792] *****************************************
Initializing distributed process group (rank: 1, local_rank: 1)
Initializing distributed process group (rank: 0, local_rank: 0)
GPU 0 - Using device: cuda:0 (distributed mode)
GPU 1 - Using device: cuda:1 (distributed mode)
Could not find model to preload: latest. Starting from scratch
Could not find model to preload: latest. Starting from scratch
Epoch [1/10], Batch [100/1563], Loss: 1.8034, Acc: 18.75%
Epoch [1/10], Batch [100/1563], Loss: 2.2209, Acc: 37.50%
Epoch [1/10], Batch [200/1563], Loss: 1.7667, Acc: 31.25%
Epoch [1/10], Batch [200/1563], Loss: 1.8530, Acc: 31.25%
Epoch [1/10], Batch [300/1563], Loss: 2.1870, Acc: 12.50%
Epoch [1/10], Batch [300/1563], Loss: 2.2516, Acc: 18.75%
Epoch [1/10], Batch [400/1563], Loss: 1.7852, Acc: 43.75%
Epoch [1/10], Batch [400/1563], Loss: 1.6964, Acc: 43.75%
Epoch [1/10], Batch [500/1563], Loss: 1.7389, Acc: 50.00%
Epoch [1/10], Batch [500/1563], Loss: 1.9580, Acc: 25.00%
Epoch [1/10], Batch [600/1563], Loss: 1.9012, Acc: 37.50%
Epoch [1/10], Batch [600/1563], Loss: 1.9315, Acc: 25.00%
Epoch [1/10], Batch [700/1563], Loss: 1.7307, Acc: 37.50%
Epoch [1/10], Batch [700/1563], Loss: 1.9355, Acc: 18.75%
Epoch [1/10], Batch [800/1563], Loss: 1.6347, Acc: 31.25%
Epoch [1/10], Batch [800/1563], Loss: 1.9121, Acc: 37.50%
Epoch [1/10], Batch [900/1563], Loss: 1.8024, Acc: 56.25%
Epoch [1/10], Batch [900/1563], Loss: 1.9068, Acc: 18.75%
